##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Smelt2F_S432_L004_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
1115	85-89	-0.10722906821602862
1115	90-94	-0.1314476439340453
1115	95-99	-0.045416086448994974
1115	100-104	-0.13950861510506485
1115	105-109	-0.07945711256837029
1115	110-114	-0.08924495298073509
1115	115-119	-0.0649528522659466
1115	120-124	-0.14020827866981378
1115	125-129	-0.02528549309746353
1115	130-134	-0.10813151340506266
1115	135-139	-0.136890853442992
1115	140-144	-0.13184432592970907
1115	145-149	-0.1615400814741612
1115	150-151	-0.14470192844865792
1116	1	0.040835686167696394
1116	2	0.010555173567425413
1116	3	0.003837937496825816
1116	4	7.795607563210183E-4
1116	5	-0.006335075558297376
1116	6	-0.00214141813437152
1116	7	0.004781886806512148
1116	8	-0.006928809151979465
1116	9	-0.025695437121981968
1116	10-14	-0.017425664589183043
1116	15-19	-0.021558921127059705
1116	20-24	-0.030876443132989095
1116	25-29	-0.02282794719165082
1116	30-34	-0.01968180379020623
1116	35-39	-0.028250752694717107
1116	40-44	0.0015669511274865044
1116	45-49	-0.0281428214725139
1116	50-54	-0.03610881077130301
1116	55-59	-0.05388207297678349
1116	60-64	-0.053414543968102635
1116	65-69	-0.05978556013750591
1116	70-74	-0.07821091369026334
1116	75-79	-0.06524098857759242
1116	80-84	-0.07908455279969218
1116	85-89	-0.09517640187780785
1116	90-94	-0.10255423485371296
1116	95-99	-0.0634243316524632
1116	100-104	-0.1276846763033248
1116	105-109	-0.057432268112329155
1116	110-114	-0.07277066881409411
1116	115-119	-0.07814758024807134
1116	120-124	-0.1653766233084859
1116	125-129	0.0023872302988152683
1116	130-134	-0.0767828876948613
1116	135-139	-0.16561294868413867
1116	140-144	-0.11993529614221998
1116	145-149	-0.11739707144768019
1116	150-151	-0.14329731003011048
1117	1	0.01364432573787866
1117	2	-0.005471875210282917
1117	3	-0.015898871023196648
1117	4	-0.014304707387267968
1117	5	0.007521132217178206
1117	6	0.0019808880892213665
1117	7	-0.009421389917676493
1117	8	0.009752017039346583
1117	9	6.289883797876428E-4
1117	10-14	-0.023107348506734127
1117	15-19	-0.020994732909407787
1117	20-24	-0.03927409131603099
1117	25-29	-0.020456381691026593
1117	30-34	-0.04882252327561076
1117	35-39	-0.051060024916914415
1117	40-44	-0.053083743386558524
1117	45-49	-0.07620330575250023
1117	50-54	-0.0904065381053627
1117	55-59	-0.11400273669001848
1117	60-64	-0.10656283408852829
1117	65-69	-0.11777550044846663
1117	70-74	-0.12868507843340637
1117	75-79	-0.14441416179792554
1117	80-84	-0.12970777174181336
1117	85-89	-0.18799869503787647
1117	90-94	-0.19008834848278156
1117	95-99	-0.14719726933369515
1117	100-104	-0.1779236195664211
1117	105-109	-0.1627041083733971
1117	110-114	-0.18796026293971124
1117	115-119	-0.1656196219939403
1117	120-124	-0.2168872866875624
1117	125-129	-0.07287563276592479
1117	130-134	-0.16933037831745068
1117	135-139	-0.26285977340215183
1117	140-144	-0.2106800864798437
1117	145-149	-0.2448535609332616
1117	150-151	-0.16202872333574803
1118	1	0.06163018068816939
1118	2	0.05973031730245282
1118	3	0.01043274103766123
1118	4	0.014800795888589846
1118	5	0.01913100635857745
1118	6	0.006566105996967053
1118	7	-0.00628442738689472
1118	8	-0.014866018754354116
1118	9	0.0068510114231230546
1118	10-14	-0.008537401004723222
1118	15-19	0.00587339522195407
1118	20-24	-0.031144705853783705
1118	25-29	0.002719654226055468
1118	30-34	-0.014295415333954509
1118	35-39	-0.031383089799106756
1118	40-44	-0.0313495344359751
1118	45-49	-0.05719522021050949
1118	50-54	-0.031230148833401472
1118	55-59	-0.06948924882394891
1118	60-64	-0.07771600621069297
1118	65-69	-0.09387338187830352
1118	70-74	-0.1171272068597986
1118	75-79	-0.11404678480915464
1118	80-84	-0.06689378759424613
1118	85-89	-0.11162592478984834
1118	90-94	-0.10448109067625211
1118	95-99	-0.0876642856309644
1118	100-104	-0.11124168095722808
1118	105-109	-0.08459592249216286
1118	110-114	-0.12103496179738471
1118	115-119	-0.07386603292653149
1118	120-124	-0.18246049068271475
1118	125-129	-0.030700330162545697
1118	130-134	-0.12865621190881882
1118	135-139	-0.17321990915354846
1118	140-144	-0.13004915383856286
1118	145-149	-0.17580318165261133
1118	150-151	-0.07539580545083524
1119	1	0.02133515709609668
1119	2	0.02932777354064342
1119	3	0.01959216332566882
1119	4	0.017317940854894687
1119	5	0.021488459782787572
1119	6	0.010422536402764138
1119	7	0.013872362565145124
1119	8	0.018989936832824128
1119	9	0.011935963997444787
1119	10-14	-0.006913409589081709
1119	15-19	0.0023913344480774867
1119	20-24	-0.030532116660474173
1119	25-29	-0.008855415232446262
1119	30-34	-0.02233599583256307
1119	35-39	-0.029973009281803797
1119	40-44	-0.0284577730895208
